LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.084,1.21E+01
1.088,1.18E+01
1.092,1.16E+01
1.096,1.21E+01
1.1,1.33E+01
1.104,1.67E+01
1.108,2.43E+01
1.112,3.38E+01
1.116,4.33E+01
1.12,5.11E+01
1.124,5.63E+01
1.128,5.87E+01
1.132,5.87E+01
1.136,5.60E+01
1.14,5.11E+01
1.144,4.55E+01
1.148,3.97E+01
1.152,3.33E+01
1.156,2.75E+01
1.16,2.16E+01
1.164,1.72E+01
1.168,1.33E+01
1.172,1.06E+01
1.176,9.39E+00
1.18,9.63E+00
1.184,9.87E+00
1.188,9.63E+00
1.192,9.87E+00
1.196,1.04E+01
1.2,1.04E+01
1.204,1.01E+01
1.208,1.01E+01
1.212,1.04E+01
1.216,1.06E+01
1.22,1.09E+01
1.224,1.09E+01
1.228,1.16E+01
1.232,1.26E+01
1.236,1.28E+01
1.24,1.23E+01
1.244,1.23E+01
1.248,1.23E+01
1.252,1.21E+01
1.256,1.16E+01
1.26,1.16E+01
1.264,1.30E+01
1.268,1.62E+01
1.272,2.33E+01
1.276,3.23E+01
1.28,4.19E+01
1.284,5.04E+01
1.288,5.58E+01
1.292,5.82E+01
1.296,5.87E+01
1.3,5.65E+01
1.304,5.19E+01
1.308,4.60E+01
1.312,3.99E+01
1.316,3.43E+01
1.32,2.82E+01
1.324,2.23E+01
1.328,1.74E+01
1.332,1.35E+01
1.336,1.11E+01
1.34,9.39E+00
1.344,9.14E+00
1.348,9.87E+00
1.352,9.87E+00
1.356,9.87E+00
1.36,1.01E+01
1.364,1.04E+01
1.368,1.04E+01
1.372,1.01E+01
1.376,1.01E+01
1.38,1.04E+01
1.384,1.09E+01
1.388,1.11E+01
1.392,1.13E+01
1.396,1.23E+01
1.4,1.28E+01
1.404,1.26E+01
1.408,1.23E+01
1.412,1.21E+01
1.416,1.23E+01
1.42,1.18E+01
1.424,1.16E+01
1.428,1.26E+01
1.432,1.55E+01
1.436,2.18E+01
1.44,3.06E+01
1.444,4.01E+01
1.448,4.89E+01
1.452,5.50E+01
1.456,5.80E+01
1.46,5.85E+01
1.464,5.70E+01
1.468,5.28E+01
1.472,4.70E+01
1.476,4.09E+01
1.48,3.50E+01
1.484,2.94E+01
1.488,2.33E+01
1.492,1.79E+01
1.496,1.43E+01
1.5,1.16E+01
1.504,9.87E+00
1.508,9.14E+00
1.512,9.63E+00
1.516,9.87E+00
1.52,1.01E+01
1.524,9.87E+00
1.528,1.01E+01
1.532,1.04E+01
1.536,1.04E+01
1.54,1.01E+01
1.544,1.01E+01
1.548,1.09E+01
1.552,1.11E+01
1.556,1.13E+01
1.56,1.18E+01
1.564,1.28E+01
1.568,1.28E+01
1.572,1.23E+01
1.576,1.21E+01
1.58,1.21E+01
1.584,1.21E+01
1.588,1.18E+01
1.592,1.21E+01
1.596,1.48E+01
1.6,2.06E+01
1.604,2.92E+01
1.608,3.84E+01
1.612,4.75E+01
1.616,5.43E+01
1.62,5.77E+01
1.624,5.82E+01
1.628,5.70E+01
1.632,5.36E+01
1.636,4.82E+01
1.64,4.19E+01
1.644,3.58E+01
1.648,3.01E+01
1.652,2.45E+01
1.656,1.89E+01
1.66,1.48E+01
1.664,1.18E+01
1.668,1.01E+01
1.672,9.39E+00
1.676,9.39E+00
1.68,9.87E+00
1.684,1.01E+01
1.688,9.87E+00
1.692,1.01E+01
1.696,1.04E+01
1.7,1.06E+01
1.704,1.04E+01
1.708,1.01E+01
1.712,1.06E+01
1.716,1.11E+01
1.72,1.13E+01
1.724,1.18E+01
1.728,1.26E+01
1.732,1.30E+01
1.736,1.26E+01
1.74,1.21E+01
1.744,1.21E+01
1.748,1.21E+01
1.752,1.21E+01
1.756,1.21E+01
1.76,1.40E+01
1.764,1.92E+01
1.768,2.79E+01
1.772,3.67E+01
1.776,4.58E+01
1.78,5.31E+01
1.784,5.75E+01
1.788,5.85E+01
1.792,5.72E+01
1.796,5.41E+01
1.8,4.92E+01
1.804,4.31E+01
1.808,3.67E+01
1.812,3.09E+01
1.816,2.57E+01
1.82,2.01E+01
1.824,1.52E+01
1.828,1.21E+01
1.832,1.04E+01
1.836,9.63E+00
1.84,9.39E+00
1.844,9.63E+00
1.848,1.01E+01
1.852,1.01E+01
1.856,1.01E+01
1.86,1.01E+01
1.864,1.04E+01
1.868,1.04E+01
1.872,1.04E+01
1.876,1.04E+01
1.88,1.11E+01
1.884,1.16E+01
1.888,1.18E+01
1.892,1.21E+01
1.896,1.30E+01
1.9,1.28E+01
1.904,1.23E+01
1.908,1.18E+01
1.912,1.21E+01
1.916,1.21E+01
1.92,1.21E+01
1.924,1.33E+01
1.928,1.77E+01
1.932,2.60E+01
1.936,3.50E+01
1.94,4.38E+01
1.944,5.16E+01
1.948,5.65E+01
1.952,5.85E+01
1.956,5.77E+01
1.96,5.48E+01
1.964,5.04E+01
1.968,4.43E+01
1.972,3.84E+01
1.976,3.21E+01
1.98,2.67E+01
1.984,2.13E+01
1.988,1.62E+01
1.992,1.26E+01
1.996,1.06E+01
2,9.87E+00
2.004,9.39E+00
2.008,9.39E+00
2.012,9.87E+00
2.016,1.04E+01
2.02,1.04E+01
2.024,1.01E+01
2.028,1.01E+01
2.032,1.04E+01
2.036,1.04E+01
2.04,1.01E+01
2.044,1.06E+01
2.048,1.13E+01
2.052,1.18E+01
2.056,1.23E+01
2.06,1.26E+01
2.064,1.28E+01
2.068,1.26E+01
2.072,1.21E+01
2.076,1.18E+01
2.08,1.18E+01
2.084,1.21E+01
2.088,1.28E+01
2.092,1.57E+01
2.096,2.31E+01
2.1,3.23E+01
2.104,4.11E+01
2.108,4.92E+01
2.112,5.53E+01
2.116,5.82E+01
2.12,5.82E+01
2.124,5.58E+01
2.128,5.16E+01
2.132,4.63E+01
2.136,3.99E+01
2.14,3.38E+01
2.144,2.82E+01
2.148,2.28E+01
2.152,1.77E+01
2.156,1.33E+01
2.16,1.09E+01
2.164,9.87E+00
2.168,9.63E+00
2.172,9.63E+00
2.176,9.63E+00
2.18,1.04E+01
2.184,1.04E+01
2.188,1.01E+01
2.192,1.01E+01
2.196,1.04E+01
2.2,1.04E+01
2.204,1.04E+01
2.208,1.06E+01
2.212,1.11E+01
2.216,1.18E+01
2.22,1.21E+01
2.224,1.23E+01
2.228,1.28E+01
2.232,1.28E+01
2.236,1.23E+01
2.24,1.18E+01
2.244,1.18E+01
2.248,1.21E+01
2.252,1.26E+01
2.256,1.45E+01
2.26,2.01E+01
2.264,2.94E+01
2.268,3.84E+01
2.272,4.67E+01
2.276,5.33E+01
2.28,5.75E+01
2.284,5.85E+01
2.288,5.65E+01
2.292,5.28E+01
2.296,4.80E+01
2.3,4.21E+01
2.304,3.55E+01
2.308,2.99E+01
2.312,2.43E+01
2.316,1.94E+01
2.32,1.48E+01
2.324,1.16E+01
2.328,9.87E+00
2.332,9.63E+00
2.336,9.63E+00
2.34,9.63E+00
2.344,9.87E+00
2.348,1.04E+01
2.352,1.04E+01
2.356,1.01E+01
2.36,1.01E+01
2.364,1.06E+01
2.368,1.06E+01
2.372,1.04E+01
2.376,1.06E+01
2.38,1.16E+01
2.384,1.21E+01
2.388,1.23E+01
2.392,1.26E+01
2.396,1.28E+01
2.4,1.26E+01
2.404,1.21E+01
2.408,1.16E+01
2.412,1.18E+01
2.416,1.23E+01
2.42,1.35E+01
2.424,1.77E+01
2.428,2.60E+01
2.432,3.55E+01
