LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.084,5.48E+00
1.088,4.99E+00
1.092,5.24E+00
1.096,5.72E+00
1.1,5.48E+00
1.104,4.99E+00
1.108,5.24E+00
1.112,5.72E+00
1.116,5.72E+00
1.12,5.24E+00
1.124,5.48E+00
1.128,6.21E+00
1.132,5.97E+00
1.136,5.24E+00
1.14,5.48E+00
1.144,6.21E+00
1.148,6.21E+00
1.152,5.72E+00
1.156,5.97E+00
1.16,6.21E+00
1.164,6.46E+00
1.168,5.97E+00
1.172,5.97E+00
1.176,6.21E+00
1.18,6.70E+00
1.184,6.94E+00
1.188,6.70E+00
1.192,7.43E+00
1.196,8.41E+00
1.2,8.41E+00
1.204,8.17E+00
1.208,8.41E+00
1.212,8.90E+00
1.216,8.65E+00
1.22,8.17E+00
1.224,1.04E+01
1.228,1.79E+01
1.232,2.87E+01
1.236,4.31E+01
1.24,5.85E+01
1.244,6.94E+01
1.248,7.43E+01
1.252,7.68E+01
1.256,7.87E+01
1.26,8.02E+01
1.264,8.07E+01
1.268,8.04E+01
1.272,7.99E+01
1.276,7.92E+01
1.28,7.82E+01
1.284,7.68E+01
1.288,7.51E+01
1.292,7.38E+01
1.296,7.29E+01
1.3,7.09E+01
1.304,6.80E+01
1.308,6.41E+01
1.312,5.87E+01
1.316,4.70E+01
1.32,3.72E+01
1.324,2.94E+01
1.328,2.31E+01
1.332,1.70E+01
1.336,1.16E+01
1.34,7.92E+00
1.344,5.97E+00
1.348,4.50E+00
1.352,3.53E+00
1.356,3.77E+00
1.36,4.50E+00
1.364,4.75E+00
1.368,4.50E+00
1.372,4.50E+00
1.376,4.99E+00
1.38,5.24E+00
1.384,4.99E+00
1.388,4.50E+00
1.392,4.99E+00
1.396,5.48E+00
1.4,5.24E+00
1.404,4.75E+00
1.408,4.75E+00
1.412,5.48E+00
1.416,5.24E+00
1.42,4.50E+00
1.424,4.75E+00
1.428,5.48E+00
1.432,5.24E+00
1.436,4.75E+00
1.44,4.75E+00
1.444,5.48E+00
1.448,5.48E+00
1.452,4.99E+00
1.456,4.99E+00
1.46,5.48E+00
1.464,5.48E+00
1.468,4.99E+00
1.472,4.99E+00
1.476,5.24E+00
1.48,5.48E+00
1.484,5.48E+00
1.488,4.99E+00
1.492,5.24E+00
1.496,5.72E+00
1.5,5.72E+00
1.504,5.24E+00
1.508,5.48E+00
1.512,5.97E+00
1.516,5.72E+00
1.52,5.24E+00
1.524,5.48E+00
1.528,5.97E+00
1.532,5.97E+00
1.536,5.24E+00
1.54,5.48E+00
