LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/09/30
Time,10:13:52.1838265499428868429
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/09/30,
Time,10:32:52.7480631499425946845,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,2.933762
0.004000,3.048851
0.008000,3.492768
0.012000,3.673623
0.016000,3.706506
0.020000,4.068216
0.024000,4.857402
0.028000,5.531499
0.032000,5.843885
0.036000,6.090505
0.040000,6.698836
0.044000,7.208519
0.048000,7.044105
0.052000,6.583746
0.056000,6.271360
0.060000,6.090505
0.064000,6.106947
0.068000,7.422256
0.072000,14.656460
0.076000,30.423736
0.080000,48.575008
0.084000,61.974722
0.088000,69.241805
0.092000,73.631648
0.096000,75.801908
0.100000,76.919921
0.104000,77.478927
0.108000,77.643340
0.112000,77.035010
0.116000,75.440198
0.120000,73.697414
0.124000,72.119043
0.128000,70.310493
0.132000,68.008703
0.136000,65.526057
0.140000,63.142059
0.144000,59.623607
0.148000,53.047060
0.152000,43.280888
0.156000,28.006855
0.160000,17.599466
0.164000,9.707607
0.168000,4.610782
0.172000,2.424079
0.176000,1.749983
0.180000,1.717100
0.184000,1.651335
0.188000,2.177458
0.192000,2.900879
0.196000,3.114617
0.200000,2.917320
0.204000,2.999527
0.208000,3.476327
0.212000,3.821596
0.216000,3.986009
0.220000,4.397044
0.224000,5.169788
0.228000,5.827443
0.232000,5.958974
0.236000,6.057622
0.240000,6.517981
0.244000,6.764601
0.248000,6.205595
0.252000,5.515057
0.256000,5.383526
0.260000,5.893209
0.264000,8.178560
0.268000,16.892487
0.272000,34.040838
0.276000,52.093461
0.280000,64.260072
0.284000,70.294052
0.288000,73.763179
0.292000,76.032087
0.296000,77.133658
0.300000,77.330955
0.304000,76.887038
0.308000,76.196501
0.312000,74.864751
0.316000,72.809580
0.320000,70.737969
0.324000,68.962302
0.328000,66.956455
0.332000,64.227189
0.336000,61.021123
0.340000,56.549071
0.344000,49.018925
0.348000,36.934519
0.352000,22.959353
0.356000,13.406916
0.360000,7.257843
0.364000,3.410561
0.368000,1.618452
0.372000,1.256742
0.376000,1.684217
0.380000,1.881514
0.384000,2.111693
0.388000,2.473403
0.392000,2.933762
0.396000,2.999527
0.400000,2.900879
0.404000,3.098175
0.408000,3.755830
0.412000,4.232630
0.416000,4.495692
0.420000,4.808078
0.424000,5.531499
0.428000,5.991857
0.432000,5.909650
0.436000,5.827443
0.440000,5.893209
0.444000,5.695912
0.448000,5.054699
0.452000,4.873844
0.456000,6.337126
0.460000,12.667054
0.464000,27.053255
0.468000,45.401824
0.472000,60.166172
0.476000,68.452619
0.480000,72.530077
0.484000,74.568806
0.488000,76.032087
0.492000,76.870597
0.496000,76.623976
0.500000,75.621053
0.504000,74.190655
0.508000,72.727374
0.512000,70.787293
0.516000,68.321089
0.520000,66.068622
0.524000,63.865479
0.528000,61.086888
0.532000,56.433982
0.536000,48.772305
0.540000,38.101856
0.544000,24.241780
0.548000,14.245426
0.552000,7.109870
0.556000,3.361237
0.560000,1.980162
0.564000,1.306066
0.568000,1.174535
0.572000,1.486921
