LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.084,4.75E+00
1.088,4.99E+00
1.092,5.48E+00
1.096,5.48E+00
1.1,5.72E+00
1.104,5.48E+00
1.108,5.97E+00
1.112,6.70E+00
1.116,7.19E+00
1.12,6.94E+00
1.124,7.19E+00
1.128,7.68E+00
1.132,7.68E+00
1.136,7.43E+00
1.14,8.65E+00
1.144,1.55E+01
1.148,3.23E+01
1.152,5.53E+01
1.156,7.63E+01
1.16,8.65E+01
1.164,8.92E+01
1.168,8.90E+01
1.172,8.92E+01
1.176,8.90E+01
1.18,8.75E+01
1.184,8.53E+01
1.188,8.31E+01
1.192,7.99E+01
1.196,7.38E+01
1.2,6.04E+01
1.204,4.33E+01
1.208,2.72E+01
1.212,1.65E+01
1.216,9.87E+00
1.22,5.72E+00
1.224,4.50E+00
1.228,4.50E+00
1.232,4.75E+00
1.236,4.75E+00
1.24,4.99E+00
1.244,5.48E+00
1.248,5.48E+00
1.252,5.24E+00
1.256,5.48E+00
1.26,6.46E+00
1.264,6.94E+00
1.268,6.70E+00
1.272,6.94E+00
1.276,7.68E+00
1.28,7.68E+00
1.284,7.19E+00
1.288,7.43E+00
1.292,9.14E+00
1.296,1.60E+01
1.3,3.31E+01
1.304,5.65E+01
1.308,7.68E+01
1.312,8.65E+01
1.316,8.90E+01
1.32,8.92E+01
1.324,8.90E+01
1.328,8.87E+01
1.332,8.73E+01
1.336,8.51E+01
1.34,8.29E+01
1.344,8.02E+01
1.348,7.34E+01
1.352,5.94E+01
1.356,4.26E+01
1.36,2.72E+01
1.364,1.62E+01
1.368,9.14E+00
1.372,5.72E+00
1.376,4.75E+00
1.38,4.50E+00
1.384,4.50E+00
1.388,4.75E+00
1.392,5.24E+00
1.396,5.48E+00
1.4,5.48E+00
1.404,5.24E+00
1.408,5.72E+00
1.412,6.21E+00
1.416,6.70E+00
1.42,6.94E+00
1.424,7.19E+00
1.428,7.68E+00
1.432,7.68E+00
1.436,7.19E+00
1.44,7.43E+00
1.444,9.39E+00
1.448,1.62E+01
1.452,3.28E+01
1.456,5.65E+01
1.46,7.73E+01
1.464,8.63E+01
1.468,8.82E+01
1.472,8.90E+01
1.476,8.95E+01
1.48,8.85E+01
1.484,8.68E+01
1.488,8.51E+01
1.492,8.29E+01
1.496,7.97E+01
1.5,7.29E+01
1.504,5.89E+01
1.508,4.23E+01
1.512,2.65E+01
1.516,1.57E+01
1.52,9.14E+00
1.524,5.72E+00
1.528,4.50E+00
1.532,4.50E+00
1.536,4.50E+00
1.54,4.75E+00
1.544,5.48E+00
1.548,5.48E+00
1.552,4.99E+00
1.556,5.24E+00
1.56,6.21E+00
1.564,6.46E+00
1.568,6.21E+00
1.572,6.94E+00
1.576,7.43E+00
1.58,7.43E+00
1.584,7.43E+00
1.588,7.43E+00
1.592,7.68E+00
1.596,9.39E+00
1.6,1.65E+01
1.604,3.36E+01
1.608,5.70E+01
1.612,7.70E+01
1.616,8.60E+01
1.62,8.82E+01
1.624,8.87E+01
1.628,8.90E+01
1.632,8.82E+01
1.636,8.65E+01
1.64,8.46E+01
1.644,8.29E+01
1.648,7.95E+01
1.652,7.19E+01
