LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.084,9.43E+01
1.088,8.95E+01
1.092,8.07E+01
1.096,6.19E+01
1.1,4.89E+01
1.104,3.77E+01
1.108,2.84E+01
1.112,2.09E+01
1.116,1.43E+01
1.12,8.65E+00
1.124,5.24E+00
1.128,3.53E+00
1.132,2.55E+00
1.136,1.82E+00
1.14,2.06E+00
1.144,3.04E+00
1.148,2.79E+00
1.152,2.55E+00
1.156,2.79E+00
1.16,3.77E+00
1.164,4.01E+00
1.168,3.53E+00
1.172,3.77E+00
1.176,4.50E+00
1.18,4.50E+00
1.184,4.26E+00
1.188,4.26E+00
1.192,4.75E+00
1.196,4.99E+00
1.2,4.75E+00
1.204,4.75E+00
1.208,4.99E+00
1.212,5.72E+00
1.216,6.21E+00
1.22,6.46E+00
1.224,7.43E+00
1.228,8.65E+00
1.232,9.14E+00
1.236,9.14E+00
1.24,9.63E+00
1.244,1.01E+01
1.248,9.87E+00
1.252,9.39E+00
1.256,1.28E+01
1.26,2.31E+01
1.264,3.92E+01
1.268,5.99E+01
1.272,8.17E+01
1.276,9.17E+01
1.28,9.26E+01
1.284,9.43E+01
1.288,9.58E+01
1.292,9.70E+01
1.296,9.83E+01
1.3,9.85E+01
1.304,9.85E+01
1.308,9.85E+01
1.312,9.90E+01
1.316,9.92E+01
1.32,9.90E+01
1.324,9.95E+01
1.328,1.00E+02
1.332,9.95E+01
1.336,9.73E+01
1.34,9.36E+01
1.344,8.73E+01
1.348,7.04E+01
1.352,5.43E+01
1.356,4.28E+01
1.36,3.33E+01
1.364,2.45E+01
1.368,1.67E+01
1.372,1.11E+01
1.376,7.19E+00
1.38,4.50E+00
1.384,2.55E+00
1.388,2.06E+00
1.392,2.31E+00
1.396,2.79E+00
1.4,2.79E+00
1.404,2.55E+00
1.408,3.04E+00
1.412,3.53E+00
1.416,3.53E+00
1.42,3.53E+00
1.424,3.77E+00
1.428,4.26E+00
1.432,4.26E+00
1.436,3.77E+00
1.44,4.01E+00
1.444,4.75E+00
1.448,4.75E+00
1.452,4.26E+00
1.456,4.50E+00
1.46,5.48E+00
1.464,5.72E+00
1.468,5.48E+00
1.472,6.21E+00
1.476,7.68E+00
1.48,8.41E+00
1.484,8.41E+00
1.488,8.90E+00
1.492,9.39E+00
1.496,9.63E+00
1.5,9.14E+00
1.504,9.63E+00
1.508,1.45E+01
1.512,2.60E+01
1.516,4.36E+01
1.52,6.55E+01
1.524,8.58E+01
1.528,9.31E+01
1.532,9.39E+01
1.536,9.51E+01
1.54,9.68E+01
1.544,9.83E+01
1.548,9.92E+01
1.552,9.87E+01
1.556,9.90E+01
1.56,9.95E+01
1.564,9.95E+01
1.568,9.90E+01
1.572,9.95E+01
1.576,1.00E+02
1.58,9.97E+01
1.584,9.85E+01
1.588,9.61E+01
1.592,9.17E+01
1.596,8.26E+01
1.6,6.26E+01
1.604,4.94E+01
1.608,3.84E+01
1.612,2.94E+01
1.616,2.11E+01
1.62,1.40E+01
1.624,9.14E+00
1.628,5.72E+00
1.632,3.04E+00
1.636,1.33E+00
1.64,1.33E+00
1.644,1.82E+00
1.648,2.31E+00
1.652,1.82E+00
1.656,2.31E+00
1.66,3.04E+00
1.664,3.28E+00
1.668,2.79E+00
1.672,3.04E+00
1.676,3.53E+00
1.68,3.77E+00
1.684,3.28E+00
1.688,3.28E+00
1.692,3.77E+00
1.696,4.01E+00
1.7,3.77E+00
1.704,3.77E+00
1.708,4.01E+00
1.712,4.75E+00
1.716,4.75E+00
1.72,4.99E+00
1.724,5.97E+00
1.728,7.19E+00
1.732,7.92E+00
1.736,8.17E+00
1.74,8.65E+00
1.744,9.63E+00
1.748,9.63E+00
1.752,9.14E+00
1.756,1.09E+01
1.76,1.65E+01
1.764,2.77E+01
1.768,4.31E+01
1.772,6.41E+01
1.776,8.38E+01
1.78,9.07E+01
1.784,9.17E+01
1.788,9.31E+01
1.792,9.48E+01
1.796,9.58E+01
1.8,9.63E+01
1.804,9.63E+01
1.808,9.63E+01
1.812,9.63E+01
1.816,9.61E+01
1.82,9.56E+01
1.824,9.58E+01
1.828,9.61E+01
1.832,9.48E+01
1.836,9.19E+01
1.84,8.73E+01
1.844,7.92E+01
1.848,6.09E+01
1.852,4.87E+01
1.856,3.84E+01
1.86,3.01E+01
1.864,2.23E+01
1.868,1.48E+01
1.872,9.39E+00
1.876,6.46E+00
1.88,3.77E+00
1.884,2.06E+00
1.888,1.82E+00
1.892,2.31E+00
1.896,2.55E+00
1.9,2.55E+00
1.904,2.55E+00
1.908,3.04E+00
1.912,3.77E+00
1.916,3.77E+00
1.92,3.28E+00
1.924,3.77E+00
1.928,4.26E+00
1.932,4.26E+00
1.936,3.77E+00
1.94,4.01E+00
1.944,4.75E+00
1.948,4.75E+00
1.952,4.26E+00
1.956,4.50E+00
1.96,5.24E+00
1.964,5.24E+00
1.968,4.75E+00
1.972,4.99E+00
1.976,5.97E+00
1.98,6.46E+00
1.984,6.94E+00
1.988,7.68E+00
1.992,8.90E+00
1.996,9.63E+00
2,9.63E+00
2.004,9.39E+00
2.008,9.39E+00
2.012,9.63E+00
2.016,1.11E+01
2.02,1.65E+01
2.024,2.99E+01
2.028,4.92E+01
2.032,7.21E+01
2.036,8.65E+01
2.04,9.04E+01
2.044,9.21E+01
2.048,9.41E+01
2.052,9.48E+01
2.056,9.61E+01
2.06,9.73E+01
2.064,9.75E+01
2.068,9.68E+01
2.072,9.68E+01
2.076,9.75E+01
2.08,9.78E+01
2.084,9.75E+01
2.088,9.78E+01
2.092,9.80E+01
2.096,9.70E+01
2.1,9.39E+01
2.104,8.82E+01
2.108,7.80E+01
2.112,5.92E+01
2.116,4.70E+01
2.12,3.58E+01
2.124,2.67E+01
2.128,1.94E+01
2.132,1.30E+01
2.136,7.68E+00
2.14,4.26E+00
2.144,2.79E+00
2.148,1.82E+00
2.152,1.09E+00
2.156,1.33E+00
2.16,2.31E+00
2.164,2.55E+00
2.168,2.06E+00
2.172,2.31E+00
2.176,3.28E+00
2.18,3.28E+00
2.184,3.04E+00
2.188,3.04E+00
2.192,3.28E+00
2.196,3.53E+00
2.2,3.28E+00
2.204,3.04E+00
2.208,3.28E+00
2.212,3.77E+00
2.216,3.77E+00
2.22,3.53E+00
2.224,3.77E+00
2.228,4.75E+00
2.232,4.99E+00
2.236,5.24E+00
2.24,6.21E+00
2.244,7.68E+00
2.248,7.92E+00
2.252,7.68E+00
2.256,7.92E+00
2.26,8.41E+00
2.264,8.41E+00
2.268,9.39E+00
2.272,1.50E+01
2.276,2.70E+01
2.28,4.33E+01
2.284,6.38E+01
2.288,8.21E+01
2.292,8.92E+01
2.296,9.02E+01
2.3,9.14E+01
2.304,9.26E+01
2.308,9.36E+01
2.312,9.46E+01
2.316,9.46E+01
2.32,9.41E+01
2.324,9.41E+01
2.328,9.41E+01
2.332,9.41E+01
2.336,9.36E+01
2.34,9.34E+01
2.344,9.29E+01
2.348,9.04E+01
2.352,8.56E+01
2.356,7.73E+01
2.36,6.07E+01
2.364,4.94E+01
2.368,3.87E+01
2.372,3.04E+01
2.376,2.33E+01
2.38,1.65E+01
2.384,1.06E+01
2.388,6.46E+00
2.392,4.50E+00
2.396,3.04E+00
2.4,2.31E+00
2.404,2.31E+00
