LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/06/17
Time,13:17:49.5558504499426942111
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/06/17,
Time,13:47:36.6960690499426216068,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,6.552717
0.004000,9.084689
0.008000,18.456271
0.012000,35.193587
0.016000,52.933825
0.020000,65.906062
0.024000,72.449724
0.028000,75.409169
0.032000,77.250602
0.036000,77.908256
0.040000,77.003981
0.044000,75.524259
0.048000,73.765033
0.052000,71.561891
0.056000,68.470915
0.060000,64.853815
0.064000,61.039418
0.068000,55.268499
0.072000,44.910437
0.076000,31.855989
0.080000,18.653568
0.084000,10.679502
0.088000,5.878621
0.092000,3.412415
0.096000,2.886291
0.100000,3.593270
0.104000,4.119394
0.108000,4.086511
0.112000,3.971422
0.116000,4.102953
0.120000,4.218042
0.124000,4.037187
0.128000,4.053629
0.132000,4.481104
0.136000,4.925021
0.140000,4.974346
0.144000,5.056552
0.148000,5.632001
0.152000,6.306097
0.156000,6.454069
0.160000,6.470511
0.164000,6.815779
0.168000,7.193931
0.172000,7.045959
0.176000,6.766455
0.180000,7.835144
0.184000,13.507418
0.188000,27.531909
0.192000,45.173499
0.196000,60.463970
0.200000,69.819106
0.204000,74.274715
0.208000,76.132589
0.212000,77.135512
0.216000,77.382133
0.220000,76.658713
0.224000,74.948811
0.228000,72.630579
0.232000,70.164375
0.236000,67.204930
0.240000,63.406975
0.244000,58.721186
0.248000,51.339012
0.252000,40.652122
0.256000,27.005785
0.260000,15.907859
0.264000,9.002482
0.268000,5.220966
0.272000,3.576829
0.276000,3.248001
0.280000,3.691919
0.284000,4.316691
0.288000,4.481104
0.292000,4.201601
0.296000,4.711284
0.300000,4.859256
0.304000,5.007228
0.308000,4.875697
0.312000,4.974346
0.316000,5.533352
0.320000,6.059476
0.324000,6.289655
0.328000,6.651366
0.332000,7.210372
0.336000,7.785820
0.340000,7.917351
0.344000,7.802262
0.348000,7.983117
0.352000,8.213296
0.356000,8.673655
0.360000,12.537377
0.364000,25.591827
0.368000,43.858189
0.372000,60.694149
0.376000,71.397477
0.380000,76.658713
0.384000,79.355096
0.388000,80.653963
0.392000,80.555315
0.396000,79.864778
0.400000,78.812531
0.404000,76.888892
0.408000,74.159626
0.412000,71.101533
0.416000,68.092763
0.420000,64.771608
0.424000,60.118702
0.428000,51.733605
0.432000,39.961585
0.436000,25.822006
0.440000,15.562590
0.444000,8.657213
0.448000,5.336056
0.452000,4.415339
0.456000,4.415339
0.460000,4.678401
0.464000,5.303173
0.468000,5.878621
0.472000,5.977269
0.476000,5.911504
0.480000,5.829297
0.484000,6.191007
0.488000,6.289655
0.492000,6.240331
0.496000,6.486952
0.500000,7.193931
0.504000,7.818703
0.508000,7.999558
0.512000,8.229737
0.516000,8.755861
0.520000,8.986041
0.524000,8.788744
0.528000,8.410593
0.532000,8.953158
0.536000,12.816880
0.540000,24.572462
0.544000,42.296259
0.548000,60.135143
0.552000,72.301752
0.556000,78.204200
0.560000,80.670404
0.564000,82.150127
0.568000,82.725574
0.572000,82.183009
