LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/10/07
Time,10:14:11.8651018499425340826
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/10/07,
Time,10:29:30.8236632499425555392,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,3.439293
0.004000,2.715872
0.008000,2.962493
0.012000,3.554382
0.016000,4.212037
0.020000,4.803927
0.024000,5.806850
0.028000,7.023512
0.032000,7.648284
0.036000,8.075760
0.040000,8.536118
0.044000,9.259539
0.048000,9.588366
0.052000,9.440394
0.056000,9.259539
0.060000,9.210215
0.064000,9.095125
0.068000,8.996477
0.072000,8.141525
0.076000,8.108643
0.080000,8.322380
0.084000,8.601884
0.088000,10.870793
0.092000,17.743287
0.096000,29.597516
0.100000,41.303772
0.104000,51.349448
0.108000,58.057526
0.112000,62.463812
0.116000,65.275285
0.120000,67.067394
0.124000,68.333379
0.128000,69.336302
0.132000,69.566481
0.136000,69.303419
0.140000,68.744413
0.144000,68.382703
0.148000,67.708607
0.152000,66.607035
0.156000,65.456140
0.160000,64.650513
0.164000,63.631149
0.168000,62.233633
0.172000,60.425082
0.176000,58.419236
0.180000,55.180287
0.184000,49.853284
0.188000,34.694341
0.192000,28.791889
0.196000,21.261741
0.200000,14.734516
0.204000,10.278904
0.208000,7.566077
0.212000,6.563154
0.216000,5.593113
0.220000,4.425775
0.224000,3.768120
0.228000,3.406410
0.232000,3.028258
0.236000,2.946052
0.240000,3.340644
0.244000,4.228479
0.248000,5.280726
0.252000,6.020588
0.256000,6.842657
0.260000,7.779815
0.264000,8.421029
0.268000,8.815622
0.272000,9.062242
0.276000,9.407511
0.280000,9.670573
0.284000,9.325304
0.288000,8.799180
0.292000,8.848504
0.296000,8.963594
0.300000,8.273056
0.304000,7.812698
0.308000,8.009994
0.312000,9.012918
0.316000,12.268310
0.320000,19.995755
0.324000,32.014398
0.328000,43.885067
0.332000,53.388178
0.336000,59.093332
0.340000,62.809080
0.344000,65.686319
0.348000,67.560634
0.352000,68.481351
0.356000,68.974592
0.360000,69.385626
0.364000,69.286978
0.368000,68.596440
0.372000,67.741489
0.376000,67.083835
0.380000,66.426180
0.384000,65.193078
0.388000,63.927093
0.392000,62.957053
0.396000,61.789716
0.400000,59.997607
0.404000,57.268340
0.408000,53.486826
0.412000,47.863878
0.416000,33.773624
0.420000,26.325683
0.424000,18.828418
0.428000,13.320558
0.432000,9.571925
0.436000,7.122160
0.440000,6.037030
0.444000,5.264285
0.448000,4.491541
0.452000,3.653031
0.456000,2.929610
0.460000,2.962493
0.464000,3.274879
0.468000,3.669472
0.472000,4.212037
0.476000,5.313609
0.480000,6.530271
0.484000,7.319457
0.488000,7.714050
0.492000,8.404587
0.496000,9.160890
0.500000,9.374628
0.504000,9.275980
0.508000,9.325304
0.512000,9.341746
0.516000,9.029360
0.520000,8.799180
0.524000,8.404587
0.528000,8.240174
0.532000,8.108643
0.536000,8.075760
0.540000,9.440394
0.544000,14.718074
0.548000,24.648663
0.552000,36.256271
0.556000,47.354196
0.560000,55.821500
0.564000,60.852558
0.568000,63.927093
0.572000,66.179560
